Negative Mode,,,,,,,,,,,,,,,,,,,,,
mzmed,GF1,GF2,GF3,Day5_BTBL_1,Day5_BTBL_2,Day5_BTBL_3,Day5_BTBL_4,Day10_BTBL_1,Day10_BTBL_2,Day10_BTBL_3,Day10_BTBL_4,Day15_BTBL_1,Day15_BTBL_2,Day15_BTBL_3,Day15_BTBL_4,Day20_BTBL_1,Day20_BTBL_2,Day20_BTBL_3,Day25_BTBL_1,Day25_BTBL_2,Day25_BTBL_3
,0(GF),0(GF),0(GF),5,5,5,5,10,10,10,10,15,15,15,15,20,20,20,25,25,25
269.1245347,4771871.333,1837394.705,2690814.354,1781091.03,1959883.397,1611112.469,1840425.453,3460274.159,7175636.405,4242825.731,5188628.485,3442157.781,5376009.249,5753716.358,5623169.413,5600786.286,4820327.331,2781837.383,2689371.654,3734721.756,5989488.965
225.0833848,741909.358,667995.932,555464.875,693806.0833,812921.5937,690705.154,922265.3233,955980.5782,1326699.932,1640565.64,1436681.67,1285176.86,1256533.071,1468377.737,1347281.219,1062921.076,1096489.603,1020281.606,806857.0255,1213108.689,1048193.365
323.134125,533781.9421,260343.1267,218851.7466,383336.5563,377515.0282,341259.939,583339.4128,249953.9452,356328.8248,276584.0065,263299.3018,255125.1775,343459.5599,472002.994,437637.5927,199619.1656,314219.3208,288500.9323,109916.3411,227727.078,169341.0974
86.02473372,117044.0306,54942.56277,32760.71963,135264.2431,120506.2173,100202.9491,159919.3439,137736.6387,200907.1108,154717.3188,185161.4038,149279.6702,128021.7469,179493.3545,150659.0088,154887.5807,165716.5781,140585.7799,103038.3753,141663.9637,115812.35
151.0599937,473229.8496,373633.3627,187397.347,402586.6362,376090.423,320436.2555,474185.3024,388439.6182,544587.7862,476911.3435,539982.7546,445896.2787,418233.8768,519972.1208,495358.7188,454241.6227,462154.3559,408206.4292,273827.8536,350847.3817,434009.2291
241.0884459,273912.9205,179023.2222,110113.5743,268756.9245,274213.9704,231443.0602,297673.9731,331568.5577,445250.4354,422768.7956,474373.1473,383814.4274,414839.0965,431180.8551,395942.5451,414057.5383,400779.2128,336671.3343,312912.0708,376977.46,356267.9915
301.0562336,1002975.184,341211.0384,233027.2778,1189206.795,1204752.751,1209953.619,1847277.705,510599.9517,671271.5079,467151.1864,534275.8031,432427.3957,588422.8666,972378.0813,907027.1149,492434.3874,718229.8701,715282.2368,159729.9584,377491.2715,353297.9889
271.1254749,161876.8303,99000.83382,96692.06262,122403.6509,131044.9129,111898.8089,133623.7759,224704.8408,327201.5888,296903.5076,395981.086,229296.9206,269711.1083,289771.3213,292091.788,249324.0943,232174.9885,186673.3304,204711.7359,231675.0669,272308.76
138.0526607,384111.9815,202741.2642,108166.5521,247630.6123,263547.5891,239701.1547,343163.2225,193720.2528,262329.5066,186821.8614,216842.4662,222004.3101,255090.4162,332402.0654,336739.32,210315.2404,259129.0858,217724.2659,139286.4316,201434.9352,197286.7267
