tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
MIR1302-2	-	-	MIR1302-2	MIR1302-2	TSS10595	chr1:30365-30503	-	-	0	0	0	OK
FAM138A	-	-	FAM138A	FAM138A	TSS10184	chr1:34610-36081	-	-	0	0	0	OK
OR4F5	-	-	OR4F5	OR4F5	TSS17749	chr1:69090-70008	-	-	0	0	0	OK
DDX11L1	-	-	DDX11L1	DDX11L1	TSS18303	chr1:11873-14409	-	-	0.485822	0.362285	0.609358	OK
WASH7P	-	-	WASH7P	WASH7P	TSS9156	chr1:14361-29370	-	-	2.14079	1.87911	2.40247	OK
MIR6859-1	-	-	MIR6859-1	MIR6859-1	TSS27452	chr1:17368-17436	-	-	0	0	0	OK
MIR6859-1	-	-	MIR6859-1	MIR6859-1	TSS34555	chr1:187890-187958	-	-	0	0	0	OK
FAM138D	-	-	FAM138D	FAM138D	TSS27427	chr1:205128-206597	-	-	0	0	0	OK
OR4F29	-	-	OR4F29	OR4F29	TSS18830	chr1:450739-451678	-	-	0	0	0	OK
LOC729737	-	-	LOC729737	LOC729737	TSS22631	chr1:134772-140566	-	-	39.3387	38.7348	39.9426	OK
LOC101928626	-	-	LOC101928626	LOC101928626	TSS18498	chr1:627379-629009	-	-	0	0	0	OK
LOC100132287	-	-	LOC100132287	LOC100132287	TSS27248	chr1:490755-495445	-	-	13.5586	13.1669	13.9502	OK
MIR6723	-	-	MIR6723	MIR6723	TSS9033	chr1:632324-632413	-	-	0	0	0	OK
OR4F29	-	-	OR4F29	OR4F29	TSS33796	chr1:685715-686654	-	-	0	0	0	OK
FAM87B	-	-	FAM87B	FAM87B	TSS11238	chr1:817370-819834	-	-	0	0	0	OK
LINC00115	-	-	LINC00115	LINC00115	TSS33282	chr1:826205-827522	-	-	0.0559651	0.00962327	0.102307	OK
FAM41C	-	-	FAM41C	FAM41C	TSS15687	chr1:868070-876802	-	-	0.0280826	0	0.0577769	OK
LOC100130417	-	-	LOC100130417	LOC100130417	TSS15106	chr1:916817-919692	-	-	0	0	0	OK
